Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
0;honour (by), pay / do homage (to by);почтить;;;;совер.;почитать/почтить;not reflexive;not movement;почту;почтишь;почтит;почтите;почтим;почтут, почтят;почти;почтите;;почтив, *почтивши;;почтивший;;
4030;place, arrange;расставить;;;;совер.;расставлять/расставить;not reflexive;not movement;расставлю;расставишь;расставит;расставите;расставим;расставят;расставь;расставьте;;расставив;;расставивший;;расставленный
0;place, arrange;расставлять;;;;несовер.;расставлять/расставить;not reflexive;not movement;расставляю;расставляешь;расставляет;расставляете;расставляем;расставляют;расставляй;расставляйте;расставляя;расставляв, *расставлявши;расставляющий;расставлявший;расставляемый;
4036;make, make one's way;направляться;;;;несовер.;направляться/направиться;reflexive;not movement;направляюсь;направляешься;направляется;направляетесь;направляемся;направляются;направляйся;направляйтесь;направляясь;направлявшись;направляющийся;направлявшийся;направляющийся;направлявшийся
4041;growl out, bark out;буркнуть;;;разг.;совер.;;not reflexive;not movement;буркну;буркнешь;буркнет;буркнете;буркнем;буркнут;буркни;буркните;;буркнув;;буркнувший;;
4042;collide (with), come into collision (with);столкнуться;;;;совер.;сталкиваться/столкнуться;reflexive;not movement;столкнусь;столкнёшься;столкнётся;столкнётесь;столкнёмся;столкнутся;столкнись;столкнитесь;;столкнувшись;;столкнувшийся;;
0;collide (with), come into collision (with);сталкиваться;;;;несовер.;сталкиваться/столкнуться;reflexive;not movement;сталкиваюсь;сталкиваешься;сталкивается;сталкиваетесь;сталкиваемся;сталкиваются;сталкивайся;сталкивайтесь;сталкиваясь;сталкивавшись;сталкивающийся;сталкивавшийся;сталкивающийся;сталкивавшийся
4045;persuade, talk;уговаривать;;;;несовер.;уговаривать/уговорить;not reflexive;not movement;уговариваю;уговариваешь;уговаривает;уговариваете;уговариваем;уговаривают;уговаривай;уговаривайте;уговаривая;уговаривав;уговаривающий;уговаривавший;уговариваемый;
4048;cover, screen;прикрывать;;;;несовер.;прикрывать/прикрыть;not reflexive;not movement;прикрываю;прикрываешь;прикрывает;прикрываете;прикрываем;прикрывают;прикрывай;прикрывайте;прикрывая;прикрывав;прикрывающий;прикрывавший;прикрываемый;
4051;distinguish, tell apart;различать;;;;несовер.;различать/различить;not reflexive;not movement;различаю;различаешь;различает;различаете;различаем;различают;различай;различайте;различая;различав;различающий;различавший;различаемый;
0;distinguish, tell apart;различить;;;;совер.;различать/различить;not reflexive;not movement;различу;различишь;различит;различите;различим;различат;различи;различите;;различив, *различивши;;различивший;;различённый
4055;go / pass / walk (a)round, round;обходить;;;;несовер.;обходить/обойти;not reflexive;not movement;обхожу;обходишь;обходит;обходите;обходим;обходят;обходи;обходите;;обходив;;обходивший;;
4062;turn, swing;поворачивать;;;;несовер.;поворачивать/повернуть;not reflexive;not movement;поворачиваю;поворачиваешь;поворачивает;поворачиваете;поворачиваем;поворачивают;поворачивай;поворачивайте;поворачивая;поворачивав;поворачивающий;поворачивавший;поворачиваемый;
4063;lose;утратить;;;;совер.;утрачивать/утратить;not reflexive;not movement;утрачу;утратишь;утратит;утратите;утратим;утратят;утрать;утратьте;;утратив;;утративший;;утраченный
0;lose;утрачивать;;;;несовер.;утрачивать/утратить;not reflexive;not movement;утрачиваю;утрачиваешь;утрачивает;утрачиваете;утрачиваем;утрачивают;утрачивай;утрачивайте;утрачивая;утрачивав, *утрачивавши;утрачивающий;утрачивавший;утрачиваемый;
4069;retain, keep;удержать;;;;совер.;удерживаться/удержать;not reflexive;not movement;удержу;удержишь;удержит;удержите;удержим;удержат;удержи;удержите;;удержав;;удержавший;;удержанный
0;hold one's ground, hold out;удерживаться;;;;несовер.;удерживаться/удержаться;reflexive;not movement;удерживаюсь;удерживаешься;удерживается;удерживаетесь;удерживаемся;удерживаются;удерживайся;удерживайтесь;удерживаясь;удерживавшись;удерживающийся;удерживавшийся;удерживающийся;удерживавшийся
4072;incline, bend;склониться;;;;совер.;склоняться/склониться;reflexive;not movement;склонюсь;склонишься;склонится;склонитесь;склонимся;склонятся;склонись;склонитесь;;склонившись, склонясь;;склонившийся;;
0;incline, bend;склоняться;;;;несовер.;склоняться/склониться;reflexive;not movement;склоняюсь;склоняешься;склоняется;склоняетесь;склоняемся;склоняются;склоняйся;склоняйтесь;склоняясь;склонявшись;склоняющийся;склонявшийся;склоняющийся;склонявшийся
4074;;отступить;;;;perfective aspect unset;;not reflexive;movement aspect unset;;;;;;;;;;;;;;
4078;last;длиться;;;;несовер.;длиться/продлиться;reflexive;not movement;длюсь;длишься;длится;длитесь;длимся;длятся;длись;длитесь;длясь;длившись;длящийся;длившийся;длящийся;длившийся
0;last;продлиться;;;;совер.;длиться/продлиться;reflexive;not movement;продлюсь;продлишься;продлится;продлитесь;продлимся;продлятся;продлись;продлитесь;;продлившись, продлясь;;продлившийся;;
4086;ask again, repeat one's question;переспросить;;;;совер.;переспрашивать/переспросить;not reflexive;not movement;переспрошу;переспросишь;переспросит;переспросите;переспросим;переспросят;переспроси;переспросите;;переспросив;;переспросивший;;переспрошенный
0;ask again, repeat one's question;переспрашивать;;;;несовер.;переспрашивать/переспросить;not reflexive;not movement;переспрашиваю;переспрашиваешь;переспрашивает;переспрашиваете;переспрашиваем;переспрашивают;переспрашивай;переспрашивайте;переспрашивая;переспрашивав, *переспрашивавши;переспрашивающий;переспрашивавший;переспрашиваемый;
4088;fling, hurl;швырнуть;;;;совер.;швырять/швырнуть;not reflexive;not movement;швырну;швырнёшь;швырнёт;швырнёте;швырнём;швырнут;швырни;швырните;;швырнув;;швырнувший;;
0;fling, hurl;швырять;;;;несовер.;швырять/швырнуть;not reflexive;not movement;швыряю;швыряешь;швыряет;швыряете;швыряем;швыряют;швыряй;швыряйте;швыряя;швыряв, *швырявши;швыряющий;швырявший;швыряемый;*швырянный
4090;interfere (in), intervene (in;вмешаться;;;;совер.;вмешиваться/вмешаться;reflexive;not movement;вмешаюсь;вмешаешься;вмешается;вмешаетесь;вмешаемся;вмешаются;вмешайся;вмешайтесь;вмешаясь;вмешав;вмешающийся;вмешавшийся;вмешающийся;вмешавшийся
0;interfere (in), intervene (in;вмешиваться;;;;несовер.;вмешиваться/вмешаться;reflexive;not movement;*вмешиваюсь;*вмешиваешься;вмешивается;*вмешиваетесь;*вмешиваемся;вмешиваются;-;-;-;-;вмешивающийся;вмешивавшийся;вмешивающийся;вмешивавшийся
4093;go, get to;деться;;;;совер.;деваться/деться;reflexive;not movement;денусь;денешься;денется;денетесь;денемся;денутся;денься;деньтесь;;девавшись;;девавшийся;;
0;go, get to;деваться;;;;несовер.;деваться/деться;reflexive;not movement;деваюсь;деваешься;девается;деваетесь;деваемся;деваются;девайся;девайтесь;деваясь;девавшись;девающийся;девавшийся;девающийся;девавшийся
4096;(try to) get, obtain;добиваться;;;;несовер.;добиваться/добиться;reflexive;not movement;добиваюсь;добиваешься;добивается;добиваетесь;добиваемся;добиваются;;;;;добивающийся;добивавшийся;добивающийся;добивавшийся
4098;drink, to quench / slake one's thirst (with;напиться;;;;совер.;напиваться/напиться;reflexive;not movement;напьюсь;напьёшься;напьётся;напьётесь;напьёмся;напьются;напейся;напейтесь;на-ся;напив;напьющийся;напившийся;на-ся;напитыйся
0;drink, to quench / slake one's thirst (with;напиваться;;;;несовер.;напиваться/напиться;reflexive;not movement;*напиваюсь;*напиваешься;напивается;*напиваетесь;*напиваемся;напиваются;-;-;-;-;напивающийся;напивавшийся;напивающийся;напивавшийся
4099;break, burst;лопнуть;;;;совер.;лопаться/лопнуть;not reflexive;movement;лопну;лопнешь;лопнет;лопнете;лопнем;лопнут;лопни;лопните;;лопнув;;лопнувший;;
0;break, burst;лопаться;;;;несовер.;лопаться/лопнуть;reflexive;not movement;лопаюсь;лопаешься;лопается;лопаетесь;лопаемся;лопаются;лопайся;лопайтесь;лопаясь;лопавшись;лопающийся;лопавшийся;лопающийся;лопавшийся
4104;let go / slip;упустить;;;;совер.;упускать/упустить;not reflexive;not movement;упущу;упустишь;упустит;упустите;упустим;упустят;упусти;упустите;;упустив;;упустивший;;упущенный
0;let go / slip;упускать;;;;несовер.;упускать/упустить;not reflexive;not movement;упускаю;упускаешь;упускает;упускаете;упускаем;упускают;упускай;упускайте;упуская;упускав, *упускавши;упускающий;упускавший;упускаемый;
4105;drive / ride / draw / pull up, approach;подъехать;;;;совер.;подъезжать/подъехать;not reflexive;movement;подъеду;подъедешь;подъедет;подъедете;подъедем;подъедут;подъезжай;подъезжайте;;подъехав;;подъехавший;;
0;drive / ride / draw / pull up, approach;подъезжать;;;;несовер.;подъезжать/подъехать;not reflexive;movement;подъезжаю;подъезжаешь;подъезжает;подъезжаете;подъезжаем;подъезжают;подъезжай;подъезжайте;подъезжая;-;подъезжающий;подъезжавший;подъезжающий;подъезжавший
4110;obey, take smb.'s advice;слушаться;;;;несовер.;слушаться/послушаться;reflexive;not movement;слушаюсь;слушаешься;слушается;слушаетесь;слушаемся;слушаются;слушайся;слушайтесь;слушаясь;слушавшись;слушающийся;слушавшийся;слушающийся;слушавшийся
0;obey, take smb.'s advice;послушаться;;;;совер.;слушаться/послушаться;reflexive;not movement;послушаюсь;послушаешься;послушается;послушаетесь;послушаемся;послушаются;послушайся;послушайтесь;;послушавшись;;послушавшийся;;
4111;let pass / in / through, admit;пропускать;;;;несовер.;пропускать/пропустить;not reflexive;movement;пропускаю;пропускаешь;пропускает;пропускаете;пропускаем;пропускают;пропускай;пропускайте;пропуская;пропускав;пропускающий;пропускавший;пропускаемый;
4115;take away, seize;забирать;;;;несовер.;забирать/забрать;not reflexive;not movement;забираю;забираешь;забирает;забираете;забираем;забирают;забирай;забирайте;забирая;забирав;забирающий;забиравший;забираемый;
4117;react (to, upon);реагировать;;;;несовер.;реагировать/отреагировать;not reflexive;movement;реагирую;реагируешь;реагирует;реагируете;реагируем;реагируют;реагируй;реагируйте;реагируя;реагировав;реагирующий;реагировавший;реагирующий;реагировавший
0;react (to, upon);отреагировать;;;;совер.;реагировать/отреагировать;not reflexive;movement;отреагирую;отреагируешь;отреагирует;отреагируете;отреагируем;отреагируют;отреагируй;отреагируйте;;отреагировав, *отреагировавши, *отреагируя;;отреагировавший;;
4119;iron, press;гладить;;;;несовер.;гладить/погладить;not reflexive;not movement;глажу;гладишь;гладит;гладите;гладим;гладят;гладь;гладьте;гладя;гладив;гладящий;гладивший;;глаженный
4123;take, get;отвезти;;;;совер.;отвозить/отвезти;not reflexive;not movement;отвезу;отвезёшь;отвезёт;отвезёте;отвезём;отвезут;отвези;отвезите;;отвезя;;отвёзший;;отвезённый
0;take, get;отвозить;;;;несовер.;отвозить/отвезти;not reflexive;not movement;отвожу;отвозишь;отвозит;отвозите;отвозим;отвозят;отвози;отвозите;;отвозив, *отвозивши;;отвозивший;;
4128;deceive, cheat;обманывать;;;;несовер.;обманывать/обмануть;not reflexive;not movement;обманываю;обманываешь;обманывает;обманываете;обманываем;обманывают;обманывай;обманывайте;обманывая;обманывав;обманывающий;обманывавший;обманываемый;
4130;drop, let fall;уронить;;;;совер.;ронять/уронить;not reflexive;not movement;уроню;уронишь;уронит;уроните;уроним;уронят;урони;уроните;;уронив;;уронивший;;
0;drop, let fall;ронять;;;;несовер.;ронять/уронить;not reflexive;not movement;роняю;роняешь;роняет;роняете;роняем;роняют;роняй;роняйте;роняя;роняв, *ронявши;роняющий;ронявший;роняемый;
4135;whisper;шепнуть;;;;совер.;шептать/шепнуть;not reflexive;movement;шепну;шепнёшь;шепнёт;шепнёте;шепнём;шепнут;шепни;шепните;;шепнув;;шепнувший;;
4143;climb out, scramble out;вылезать;;;;несовер.;вылезать/вылезть;not reflexive;movement;вылезаю;вылезаешь;вылезает;вылезаете;вылезаем;вылезают;вылезай;вылезайте;вылезая;вылезав;вылезающий;вылезавший;вылезающий;вылезавший
4144;open slightly, reveal;приоткрыть;;;;совер.;приоткрывать/приоткрыть;not reflexive;not movement;приоткрою;приоткроешь;приоткроет;приоткроете;приоткроем;приоткроют;приоткрой;приоткройте;;приоткрыв;;приоткрывший;;приоткрытый
0;open slightly, reveal;приоткрывать;;;;несовер.;приоткрывать/приоткрыть;not reflexive;not movement;приоткрываю;приоткрываешь;приоткрывает;приоткрываете;приоткрываем;приоткрывают;приоткрывай;приоткрывайте;приоткрывая;приоткрывав, *приоткрывавши;приоткрывающий;приоткрывавший;приоткрываемый;
4148;(manage to) get, obtain;добыть;;;;совер.;добывать/добыть;not reflexive;not movement;добуду;добудешь;добудет;добудете;добудем;добудут;добудь;добудьте;;добыв;;добывший;;добытый
4149;weigh (upon), lie heavy (on);давить;;;;несовер.;давить/раздавить;not reflexive;not movement;давлю;давишь;давит;давите;давим;давят;дави;давите;давя;давив;давящий;давивший;;давленный
4150;be born;рождаться;;;;несовер.;рождаться/родиться;reflexive;not movement;рождаюсь;рождаешься;рождается;рождаетесь;рождаемся;рождаются;рождайся;рождайтесь;рождаясь;;рождающийся;рождавшийся;рождающийся;рождавшийся
4152;keep, preserve;сохранять;;;;несовер.;сохранять/сохранить;not reflexive;not movement;сохраняю;сохраняешь;сохраняет;сохраняете;сохраняем;сохраняют;сохраняй;сохраняйте;сохраняя;сохранявши;сохраняющий;сохранявший;сохраняемый;
4164;found, establish;основать;;;;совер.;основывать/основать;not reflexive;not movement;осную;оснуёшь;оснуёт;оснуёте;оснуём;оснуют;оснуй;оснуйте;;основав;;основавший;;основанный
0;found, establish;основывать;;;;несовер.;основывать/основать;not reflexive;not movement;основываю;основываешь;основывает;основываете;основываем;основывают;основывай;основывайте;основывая;основывав, *основывавши;основывающий;основывавший;основываемый;
4166;freeze, congeal;замерзнуть;;;;совер.;замерзать/замерзнуть;not reflexive;movement;;;;;;;;;;;;;;
0;freeze, congeal;замерзать;;;;несовер.;замерзать/замерзнуть;not reflexive;movement;замерзаю;замерзаешь;замерзает;замерзаете;замерзаем;замерзают;замерзай;замерзайте;замерзая;замерзав, *замерзавши;замерзающий;замерзавший;замерзающий;замерзавший
4171;be accompanied (by), entail;сопровождаться;;;;несовер.;сопровождаться/сопроводиться;reflexive;not movement;сопровождаюсь;сопровождаешься;сопровождается;сопровождаетесь;сопровождаемся;сопровождаются;сопровождайся;сопровождайтесь;сопровождаясь;сопровождавшись;сопровождающийся;сопровождавшийся;сопровождающийся;сопровождавшийся
0;lead, conduct;сопроводиться;;;;несовер.;сопроводиться/сопровождаться;reflexive;not movement;*сопровожусь;*сопроводишься;сопроводится;*сопроводитесь;*сопроводимся;сопроводятся;-;-;-;-;сопроводящийся;сопроводившийся;сопроводящийся;сопроводившийся
4173;prompt (to), suggest (to);подсказать;;;;совер.;подсказывать/подсказать;not reflexive;not movement;подскажу;подскажешь;подскажет;подскажете;подскажем;подскажут;подскажи;подскажите;;подсказав;;подсказавший;;подсказанный
0;prompt (to), suggest (to);подсказывать;;;;несовер.;подсказывать/подсказать;not reflexive;not movement;подсказываю;подсказываешь;подсказывает;подсказываете;подсказываем;подсказывают;подсказывай;подсказывайте;подсказывая;подсказывав, *подсказывавши;подсказывающий;подсказывавший;подсказываемый;
4174;rock;покачиваться;;;;несовер.;покачиваться/покачивать;reflexive;not movement;покачиваюсь;покачиваешься;покачивается;покачиваетесь;покачиваемся;покачиваются;покачивайся;покачивайтесь;покачиваясь;покачивавшись;покачивающийся;покачивавшийся;покачивающийся;покачивавшийся
0;rock (slightly);покачивать;;;;несовер.;покачивать/покачиваться;not reflexive;not movement;покачиваю;покачиваешь;покачивает;покачиваете;покачиваем;покачивают;покачивай;покачивайте;покачивая;покачивав, *покачивавши;покачивающий;покачивавший;покачиваемый;-
4176;start singing, begin to sing;запеть;;;;совер.;петь/запеть;not reflexive;not movement;запою;запоёшь;запоёт;запоёте;запоём;запоют;запой;запойте;;запев;;запевший;;запетый
4177;tear, tear asunder;разорвать;;;;совер.;разрывать/разорвать;not reflexive;not movement;разорву;разорвёшь, разорвешь;разорвёт, разорвет;разорвёте, разорвете;разорвём, разорвем;разорвут;разорви;разорвите;;разорвав;;разорвавший;;разорванный
0;tear, tear asunder;разрывать;;;;несовер.;разрывать/разорвать;not reflexive;not movement;разрываю;разрываешь;разрывает;разрываете;разрываем;разрывают;разрывай;разрывайте;разрывая;разрывав, *разрывавши;разрывающий;разрывавший;разрываемый;
4179;toss, rush about;метаться;;;;несовер.;метаться/метнуть;reflexive;not movement;мечусь;мечешься;мечется;мечетесь;мечемся;мечутся;мечись;мечитесь;мечась;метавшись;мечущийся;метавшийся;мечущийся;метавшийся
0;throw, cast;метнуть;;;;совер.;метаться/метнуть;not reflexive;not movement;метну;метнёшь;метнёт;метнёте;метнём;метнут;метни;метните;;метнув, *метнувши;;метнувший;;-
4180;care (for), take care (of);заботиться;;;;несовер.;заботиться/позаботиться;reflexive;not movement;забочусь;заботишься;заботится;заботитесь;заботимся;заботятся;заботься;заботьтесь;заботясь;заботившись;заботящийся;заботившийся;заботящийся;заботившийся
0;care (for), take care (of);позаботиться;;;;совер.;заботиться/позаботиться;reflexive;not movement;позабочусь;позаботишься;позаботится;позаботитесь;позаботимся;позаботятся;позаботься;позаботьтесь;;позаботившись;;позаботившийся;;
4181;go away, disperse;расходиться;;;;несовер.;расходиться/разойтись;reflexive;movement aspect unset;;;;;;;;;;;;;;
4184;conceive, resolve;задумать;;;;совер.;задумывать/задумать;not reflexive;not movement;задумаю;задумаешь;задумает;задумаете;задумаем;задумают;задумай;задумайте;;задумав;;задумавший;;задуманный
0;conceive, resolve;задумывать;;;;несовер.;задумывать/задумать;not reflexive;not movement;задумываю;задумываешь;задумывает;задумываете;задумываем;задумывают;задумывай;задумывайте;задумывая;задумывав, *задумывавши;задумывающий;задумывавший;задумываемый;
4190;discharge, dismiss;уволить;;;;совер.;увольнять/уволить;not reflexive;not movement;уволю;уволишь;уволит;уволите;уволим;уволят;уволь;увольте;;уволив;;уволивший;;уволенный
0;discharge, dismiss;увольнять;;;;несовер.;увольнять/уволить;not reflexive;not movement;увольняю;увольняешь;увольняет;увольняете;увольняем;увольняют;увольняй;увольняйте;увольняя;увольняв, *увольнявши;увольняющий;увольнявший;увольняемый;
4191;look / search (for);поискать;;;;совер.;искать/поискать;not reflexive;not movement;поищу;поищешь;поищет;поищете;поищем;поищут;поищи;поищите;;поискав;;поискавший;;
4194;explain oneself, explain one's behavior;объясняться;;;;несовер.;объясняться/объясниться;reflexive;not movement;объясняюсь;объясняешься;объясняется;объясняетесь;объясняемся;объясняются;объясняйся;объясняйтесь;объясняясь;объяснявшись;объясняющийся;объяснявшийся;объясняющийся;объяснявшийся
0;explain oneself, explain one's behavior;объясниться;;;;совер.;объясняться/объясниться;reflexive;not movement;объяснюсь;объяснишься;объяснится;объяснитесь;объяснимся;объяснятся;объяснись;объяснитесь;;объяснившись, объяснясь;;объяснившийся;;
4196;throw off / away, cast away / aside;отбросить;;;;совер.;отбрасывать/отбросить;not reflexive;not movement;отброшу;отбросишь;отбросит;отбросите;отбросим;отбросят;отбрось;отбросьте;;отбросив;;отбросивший;;отброшенный
0;throw off / away, cast away / aside;отбрасывать;;;;несовер.;отбрасывать/отбросить;not reflexive;not movement;отбрасываю;отбрасываешь;отбрасывает;отбрасываете;отбрасываем;отбрасывают;отбрасывай;отбрасывайте;отбрасывая;отбрасывав, *отбрасывавши;отбрасывающий;отбрасывавший;отбрасываемый;
4198;be kept;храниться;;;;несовер.;храниться/хранить;reflexive;not movement;хранюсь;хранишься;хранится;хранитесь;хранимся;хранятся;хранись;хранитесь;хранясь;хранившись;хранящийся;хранившийся;хранящийся;хранившийся
4206;take away, lead away;увести;;;;совер.;уводить/увести;not reflexive;not movement;уведу;уведёшь;уведёт;уведёте;уведём;уведут;уведи;уведите;;уведя;;уведший;;уведённый
0;take away, lead away;уводить;;;;несовер.;уводить/увести;not reflexive;not movement;увожу;уводишь;уводит;уводите;уводим;уводят;уводи;уводите;уводя;уводив, *уводивши;уводящий;уводивший;*уводимый;
4207;lead, take (down);сводить;;;;несовер.;сводить/свести;not reflexive;not movement;свожу;сводишь;сводит;сводите;сводим;сводят;своди;сводите;;сводив;;сводивший;;
4209;acquire, obtain;приобретать;;;;несовер.;приобретать/приобрести;not reflexive;not movement;приобретаю;приобретаешь;приобретает;приобретаете;приобретаем;приобретают;приобретай;приобретайте;приобретая;приобретав;приобретающий;приобретавший;приобретаемый;
4210;move off / away (from);удалиться;;;;совер.;удаляться/удалиться;reflexive;not movement;удалюсь;удалишься;удалится;удалитесь;удалимся;удалятся;удались;удалитесь;;удалившись, удалясь;;удалившийся;;
4212;blaze up, take fire;вспыхивать;;;;несовер.;вспыхивать/вспыхнуть;not reflexive;movement;вспыхиваю;вспыхиваешь;вспыхивает;вспыхиваете;вспыхиваем;вспыхивают;вспыхивай;вспыхивайте;вспыхивая;вспыхивав;вспыхивающий;вспыхивавший;вспыхивающий;вспыхивавший
4216;frown;нахмуриться;;;;совер.;хмуриться/нахмуриться;reflexive;not movement;нахмурюсь;нахмуришься;нахмурится;нахмуритесь;нахмуримся;нахмурятся;нахмурься;нахмурьтесь;;нахмурившись, нахмурясь;;нахмурившийся;;
0;frown;хмуриться;;;;несовер.;хмуриться/нахмуриться;reflexive;not movement;хмурюсь;хмуришься;хмурится;хмуритесь;хмуримся;хмурятся;хмурься;хмурьтесь;хмурясь;хмурившись;хмурящийся;хмурившийся;хмурящийся;хмурившийся
4219;pour (out), fill (with);наливать;;;;несовер.;наливать/налить;not reflexive;not movement;наливаю;наливаешь;наливает;наливаете;наливаем;наливают;наливай;наливайте;наливая;наливав;наливающий;наливавший;наливаемый;
4225;confirm, corroborate;подтверждать;;;;несовер.;подтверждать/подтвердить;not reflexive;not movement;подтверждаю;подтверждаешь;подтверждает;подтверждаете;подтверждаем;подтверждают;подтверждай;подтверждайте;подтверждая;подтверждав;подтверждающий;подтверждавший;подтверждаемый;
4229;draw, attract;привлекать;;;;несовер.;привлекать/привлечь;not reflexive;not movement;привлекаю;привлекаешь;привлекает;привлекаете;привлекаем;привлекают;привлекай;привлекайте;привлекая;привлекав;привлекающий;привлекавший;привлекаемый;
4235;climb, climb (onto);залезть;;;;совер.;залезать/залезть;not reflexive;movement;залезу;залезешь;залезет;залезете;залезем;залезут;залезь;залезьте;;залезши;;залезший;;
0;climb, climb (onto);залезать;;;;несовер.;залезать/залезть;not reflexive;movement;залезаю;залезаешь;залезает;залезаете;залезаем;залезают;залезай;залезайте;залезая;залезав, *залезавши;залезающий;залезавший;залезающий;залезавший
4239;entreat, beg;умолять;;;;несовер.;умолять/умолить;not reflexive;not movement;умоляю, умаливаю;умоляешь, умаливаешь;умоляет, умаливает;умоляете, умаливаете;умоляем, умаливаем;умоляют, умаливают;умоляй, умаливай;умоляйте, умаливайте;умоляя, умаливая;умоляв, умаливав;умоляющий, умаливающий;умолявший, умаливавший;умоляемый, умаливаемый;
0;entreat, beg;умолить;;;;совер.;умолять/умолить;not reflexive;not movement;умолю;умолишь;умолит;умолите;умолим;умолят;умоли;умолите;;умолив, *умоливши;;умоливший;;умолённый
4240;bring (to), carry (to);поднести;;;;совер.;подносить/поднести;not reflexive;not movement;поднесу;поднесёшь;поднесёт;поднесёте;поднесём;поднесут;поднеси;поднесите;;поднеся;;поднёсший;;поднесённый
0;bring (to), carry (to);подносить;;;;несовер.;подносить/поднести;not reflexive;not movement;подношу;подносишь;подносит;подносите;подносим;подносят;подноси;подносите;;подносив, *подносивши;;подносивший;;подношенный
4242;life / stay for a while;пожить;;;;совер.;жить/пожить;not reflexive;movement;поживу;поживёшь;поживёт;поживёте;поживём;поживут;поживи;поживите;;пожив;;поживший;;
4244;throw out / away, discard;выкинуть;;;;совер.;выкидывать/выкинуть;not reflexive;not movement;выкину;выкинешь;выкинет;выкинете;выкинем;выкинут;выкинь;выкиньте;;выкинув;;выкинувший;;выкинутый
0;throw out / away, discard;выкидывать;;;;несовер.;выкидывать/выкинуть;not reflexive;not movement;выкидываю;выкидываешь;выкидывает;выкидываете;выкидываем;выкидывают;выкидывай;выкидывайте;выкидывая;выкидывав, *выкидывавши;выкидывающий;выкидывавший;выкидываемый;
4245;take out, lead out;выводить;;;;несовер.;выводить/вывести;not reflexive;not movement;вывожу;выводишь;выводит;выводите;выводим;выводят;выводи;выводите;;выводив;;выводивший;;вывоженный
4246;move, draw;податься;;;;совер.;подаваться/податься;reflexive;not movement;подамся;подашься;подастся;подадитесь;подадимся;подадутся;подайся;подайтесь;;подавшись;;подавшийся;;
0;move, draw;подаваться;;;;несовер.;подаваться/податься;reflexive;not movement;-;-;-;-;-;-;подавайся;подавайтесь;подаваясь;подававшись;подающийся;подававшийся;подающийся;подававшийся
4247;clean, scour;чистить;;;;несовер.;чистить/почистить;not reflexive;not movement;чищу;чистишь;чистит;чистите;чистим;чистят;чисти, чисть;чистите, чистьте;чистя;чистив;чистящий;чистивший;чистимый;чищенный
0;clean, scour;почистить;;;;совер.;чистить/почистить;not reflexive;not movement;почищу;почистишь;почистит;почистите;почистим;почистят;почисти, почисть;почистите, почистьте;;почистив, *почистивши;;почистивший;;почищенный
4251;pursue, chase;преследовать;;;;несовер.;;not reflexive;not movement;преследую;преследуешь;преследует;преследуете;преследуем;преследуют;преследуй;преследуйте;преследуя;преследовав;преследующий;преследовавший;преследуемый;
4257;respond (to), answer;откликнуться;;;;совер.;откликаться/откликнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
0;respond (to), answer;откликаться;;;;несовер.;откликаться/откликнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
4261;joke, jest;пошутить;;;;совер.;шутить/пошутить;not reflexive;movement;пошучу;пошутишь;пошутит;пошутите;пошутим;пошутят;пошути;пошутите;;пошутив;;пошутивший;;
4263;live, reside;проживать;;;;несовер.;проживать/прожить;not reflexive;movement;проживаю;проживаешь;проживает;проживаете;проживаем;проживают;проживай;проживайте;проживая;проживав;проживающий;проживавший;проживающий;проживавший
4265;совер. от выкладывать;выложить;;;;совер.;выкладывать/выложить;not reflexive;not movement;выложу;выложишь;выложит;выложите;выложим;выложат;выложи;выложите;;выложив;;выложивший;;выложенный
0;take out, lay out;выкладывать;;;;несовер.;выкладывать/выложить;not reflexive;not movement;выкладываю;выкладываешь;выкладывает;выкладываете;выкладываем;выкладывают;выкладывай;выкладывайте;выкладывая;выкладывав, *выкладывавши;выкладывающий;выкладывавший;выкладываемый;
4272;climb / creep (in, on;забраться;;;;совер.;забираться/забраться;reflexive;not movement;заберусь;заберёшься;заберётся;заберётесь;заберёмся;заберутся;заберись;заберитесь;ся;забрав;;забравшийся;;забранныйся
0;climb / creep (in, on;забираться;;;;несовер.;забираться/забраться;reflexive;not movement;*забираюсь;*забираешься;забирается;*забираетесь;*забираемся;забираются;-;-;-;-;забирающийся;забиравшийся;забирающийся;забиравшийся
4273;rest (again), set (against);упираться;;;;несовер.;упираться/упереться;reflexive;not movement;упираюсь;упираешься;упирается;упираетесь;упираемся;упираются;упирайся;упирайтесь;упираясь;упиравшись;упирающийся;упиравшийся;упирающийся;упиравшийся
4275;know (again), recognize;узнавать;;;;несовер.;узнавать/узнать;not reflexive;not movement;узнаю;узнаёшь;узнаёт;узнаёте;узнаём;узнают;узнавай;узнавайте;узнавая;узнавав;узнающий;узнававший;узнаваемый;
4276;stand (for a while);постоять;;;;совер.;стоять/постоять;not reflexive;movement;постою;постоишь;постоит;постоите;постоим;постоят;постой;постойте;;постояв;;постоявший;;
